FO	1904	FRA	Max Decugis	FRA	André Vacherot	6-1, 9-7, 6-8, 6-1	2
WO	1904	BRI	Lawrence Doherty †	BRI	Frank Riseley	6-1, 7-5, 8-6	3
USO	1904	USA	Holcombe Ward ◊	USA	William Clothier	10-8, 6-4, 9-7	4
AO	1905	AUS	Rodney Heath	AUS	Albert Curtis	4-6, 6-3, 6-4, 6-4	1
FO	1905	FRA	Maurice Germot	FRA	André Vacherot	—	2
WO	1905	BRI	Lawrence Doherty †	AUS	Norman Brookes	8-6, 6-2, 6-4	3
USO	1905	USA	Beals Wright ‡	USA	Holcombe Ward	6-2, 6-1, 11-9	4
AO	1906	NZL	Anthony Wilding	NZL	Francis Fisher	6-0, 6-4, 6-4	1
FO	1906	FRA	Maurice Germot	FRA	Max Decugis	5-7, 6-3, 6-4, 1-6, 6-3	2
WO	1906	BRI	Lawrence Doherty †	BRI	Frank Riseley	6-4, 4-6, 6-2, 6-3	3
USO	1906	USA	William Clothier ‡	USA	Beals Wright	6-3, 6-0, 6-4	4
AO	1907	AUS	Horace Rice	NZL	Harry Parker	6-3, 6-4, 6-4	1
FO	1907	FRA	Max Decugis	FRA	Robert Wallet	—	2
WO	1907	AUS	Norman Brookes ◊	BRI	Arthur Gore	6-4, 6-2, 6-2	3
USO	1907	USA	William Larned ◊	USA	Robert LeRoy	6-2, 6-2, 6-4	4
AO	1908	USA	Fred Alexander	AUS	Alfred Dunlop	3-6, 3-6, 6-0, 6-2, 6-3	1
FO	1908	FRA	Max Decugis	FRA	Maurice Germot	6-2, 6-1, 3-6, 10-8	2
WO	1908	BRI	Arthur Gore ◊	BRI	Herbert Roper Barrett	6-3, 6-2, 4-6, 3-6, 6-4	3
USO	1908	USA	William Larned †	USA	Beals Wright	6-1, 6-2, 8-6	4
AO	1909	NZL	Anthony Wilding	AUS	Ernie Parker	6-1, 7-5, 6-2	1
FO	1909	FRA	Max Decugis	FRA	Maurice Germot	3-6, 2-6, 6-4, 6-4, 6-4	2
WO	1909	BRI	Arthur Gore †	BRI	Josiah Ritchie	6-8, 1-6, 6-2, 6-2, 6-2	3
USO	1909	USA	William Larned †	USA	William Clothier	6-1, 6-2, 5-7, 1-6, 6-1	4
AO	1910	AUS	Rodney Heath	AUS	Horace Rice	6-4, 6-3, 6-2	1
FO	1910	FRA	Maurice Germot	FRA	François Blanchy	6-1, 6-3, 4-6, 6-3	2
WO	1910	NZL	Anthony Wilding ‡	BRI	Arthur Gore	6-4, 7-5, 4-6, 6-2	3
USO	1910	USA	William Larned †	USA	Tom Bundy	6-1, 5-7, 6-0, 6-8, 6-1	4
AO	1911	AUS	Norman Brookes	AUS	Horace Rice	6-1, 6-2, 6-3	1
FO	1911	FRA	André Gobert	FRA	Maurice Germot	6-1, 8-6, 7-5	2
WO	1911	NZL	Anthony Wilding †	BRI	Herbert Roper Barrett	6-4, 4-6, 2-6, 6-2, retired[f]	3
USO	1911	USA	William Larned †	USA	Maurice McLoughlin	6-4, 6-4, 6-2	4
AO	1912	BRI[j]	James Cecil Parke	BRI	Alfred Beamish	3-6, 6-3, 1-6, 6-1, 7-5	1
FO	1912	FRA	Max Decugis	FRA	André Gobert	—	2
WO	1912	NZL	Anthony Wilding †	BRI	Arthur Gore	6-4, 6-4, 4-6, 6-4	3
USO	1912	USA	Maurice McLoughlin	USA	Wallace Johnson	3-6, 2-6, 6-2, 6-4, 6-2	4
AO	1913	AUS	Ernie Parker	NZL	Harry Parker	2-6, 6-1, 6-3, 6-2	1
FO	1913	FRA	Max Decugis	FRA	Georges Gault	—	2
WO	1913	NZL	Anthony Wilding †	USA	Maurice McLoughlin	8-6, 6-3, 10-8	3
USO	1913	USA	Maurice McLoughlin	USA	Richard Norris Williams	6-4, 5-7, 6-3, 6-1	4
AO	1914	AUS	Arthur O'Hara Wood	AUS	Gerald Patterson	6-4, 6-3, 5-7, 6-1	1
FO	1914	FRA	Max Decugis	FRA	Jean Samazeuilh	3-6, 6-1, 6-4, 6-4	2
WO	1914	AUS	Norman Brookes ‡	NZL	Anthony Wilding	6-4, 6-4, 7-5	3
USO	1914	USA	Richard Norris Williams	USA	Maurice McLoughlin	6-3, 8-6, 10-8	4
AO	1915	BRI	Gordon Lowe	AUS	Horace Rice	4-6, 6-1, 6-1, 6-4	1
FO	1915	—	~Not Contested	—	—	—	2
WO	1915	-	-	-	-	-	3
USO	1915	USA	Bill Johnston	USA	Maurice McLoughlin	1-6, 6-0, 7-5, 10-8	4
AO	1916	-	-	-	-	-	1
FO	1916	—	~Not Contested	—	—	—	2
WO	1916	-	-	-	-	-	3
USO	1916	USA	Richard Norris Williams	USA	Bill Johnston	4-6, 6-4, 0-6, 6-2, 6-4	4
AO	1917	-	-	-	-	-	1
FO	1917	—	~Not Contested	—	—	—	2
WO	1917	-	-	-	-	-	3
USO	1917	USA	Robert Lindley Murray[e]	USA	Nathaniel Niles	5-7, 8-6, 6-3, 6-3	4
AO	1918	-	-	-	-	-	1
FO	1918	—	~Not Contested	—	—	—	2
WO	1918	-	-	-	-	-	3
USO	1918	USA	Robert Lindley Murray	USA	Bill Tilden	6-3, 6-1, 7-5	4
AO	1919	BRI	Algernon Kingscote	AUS	Eric Pockley	6-4, 6-0, 6-3	1
FO	1919	—	~Not Contested	—	—	—	2
WO	1919	AUS	Gerald Patterson ‡	AUS	Norman Brookes	6-3, 7-5, 6-2	3
USO	1919	USA	Bill Johnston	USA	Bill Tilden	6-4, 6-4, 6-3	4
AO	1920	AUS	Pat O'Hara Wood	AUS	Ronald Thomas	6-3, 4-6, 6-8, 6-1, 6-3	1
FO	1920	FRA	André Gobert	FRA	Max Decugis	6-3, 3-6, 1-6, 6-2, 6-3	2
WO	1920	USA	Bill Tilden ‡	AUS	Gerald Patterson	2-6, 6-3, 6-2, 6-4	3
USO	1920	USA	Bill Tilden	USA	Bill Johnston	6-1, 1-6, 7-5, 5-7, 6-3	4
AO	1921	AUS	Rhys Gemmell	AUS	Alf Hedeman	7-5, 6-1, 6-4	1
FO	1921	FRA	Jean Samazeuilh	FRA	André Gobert	6-3, 6-3, 2-6, 7-5	2
WO	1921	USA	Bill Tilden †	RSA	Brian Norton	4-6, 2-6, 6-1, 6-0, 7-5	3
USO	1921	USA	Bill Tilden	USA	Wallace Johnson	6-1, 6-3, 6-1	4
AO	1922	AUS	James Anderson	AUS	Gerald Patterson	6-0, 3-6, 3-6, 6-3, 6-2	1
FO	1922	FRA	Henri Cochet	FRA	Jean Samazeuilh	8-6, 6-3, 7-5	2
WO	1922	AUS	Gerald Patterson	BRI	Randolph Lycett	6-3, 6-4, 6-2	3
USO	1922	USA	Bill Tilden	USA	Bill Johnston	4-6, 3-6, 6-2, 6-3, 6-4	4
AO	1923	AUS	Pat O'Hara Wood	AUS	Bert St. John	6-1, 6-1, 6-3	1
FO	1923	FRA	François Blanchy	FRA	Max Decugis	1-6, 6-2, 6-0, 6-2	2
WO	1923	USA	Bill Johnston	USA	Francis Hunter	6-0, 6-3, 6-1	3
USO	1923	USA	Bill Tilden	USA	Bill Johnston	6-4, 6-1, 6-4	4
AO	1924	AUS	James Anderson	AUS	Richard Schlesinger	6-3, 6-4, 3-6, 5-7, 6-3	1
FO	1924	FRA	Jean Borotra	FRA	René Lacoste	7-5, 6-4, 0-6, 5-7, 6-2	2
WO	1924	FRA	Jean Borotra	FRA	René Lacoste	6-1, 3-6, 6-1, 3-6, 6-4	3
USO	1924	USA	Bill Tilden	USA	Bill Johnston	6-1, 9-7, 6-2	4
