WO	1911	BRI	Dorothea Lambert Chambers †	BRI	Dora Boothby	6–0, 6–0	3
USO	1911	USA	Hazel Hotchkiss Wightman † (3)	USA	Florence Sutton	8–10, 6–1, 9–7	4
FO	1912	FRA	Jeanne Matthey †	FRA	Marie Danet	6–2, 7–5	2
WO	1912	BRI	Ethel Thomson Larcombe ◊	BRI	Charlotte Cooper Sterry	6–3, 6–1	3
USO	1912	USA	Mary Browne ‡	USA	Eleonora Sears	6–4, 6–2	4
FO	1913	FRA	Marguerite Broquedis †	FRA	Jeanne Matthey	6–3, 6–3	2
WO	1913	BRI	Dorothea Lambert Chambers ◊	BRI	Winifred McNair	6–0, 6–4	3
USO	1913	USA	Mary Browne † (2)	USA	Dorothy Green	6–2, 7–5	4
FO	1914	FRA	Marguerite Broquedis †	FRA	Suzanne Lenglen	5–7, 6–4, 6–3	2
WO	1914	BRI	Dorothea Lambert Chambers †	BRI	Ethel Thomson Larcombe	7–5, 6–4	3
USO	1914	USA	Mary Browne † (3)	USA	Marie Wagner	6–2, 1–6, 6–1	4
USO	1915	NOR	Molla Bjurstedt ‡	USA	Hazel Hotchkiss Wightman	4–6, 6–2, 6–0	4
USO	1916	NOR	Molla Bjurstedt † (2)	USA	Louise Hammond Raymond	6–0, 6–1	4
USO	1917[e]	NOR	Molla Bjurstedt † (3)	USA	Marion Vanderhoef	4–6, 6–0, 6–2	4
USO	1918	NOR	Molla Bjurstedt † (4)	USA	Eleanor Goss	6–4, 6–3	4
WO	1919	FRA	Suzanne Lenglen ‡	BRI	Dorothea Lambert Chambers	10–8, 4–6, 9–7	3
USO	1919	USA	Hazel Hotchkiss Wightman (4)	USA	Marion Zinderstein	6–1, 6–2	4
FO	1920	FRA	Suzanne Lenglen †	FRA	Marguerite Broquedis	6–1, 7–5	2
WO	1920	FRA	Suzanne Lenglen †	BRI	Dorothea Lambert Chambers	6–3, 6–0	3
USO	1920	USA	Molla Mallory (5)	USA	Marion Zinderstein	6–3, 6–1	4
FO	1921	FRA	Suzanne Lenglen †	FRA	Germaine Golding	Walkover	2
WO	1921	FRA	Suzanne Lenglen †	USA	Elizabeth Ryan	6–2, 6–0	3
USO	1921	USA	Molla Mallory (6)	USA	Mary Browne	4–6, 6–4, 6–2	4
AO	1922	AUS	Margaret Molesworth	AUS	Esna Boyd	6–3, 10–8	1
FO	1922	FRA	Suzanne Lenglen †	FRA	Germaine Golding	6–4, 6–2	2
WO	1922	FRA	Suzanne Lenglen	USA	Molla Bjurstedt Mallory	6–2, 6–0	3
USO	1922	USA	Molla Mallory (7)	USA	Helen Wills	6–3, 6–1	4
AO	1923	AUS	Margaret Molesworth	AUS	Esna Boyd	6–1, 7–5	1
FO	1923	FRA	Suzanne Lenglen †	FRA	Germaine Golding	6–1, 6–4	2
WO	1923	FRA	Suzanne Lenglen	GBR	Kitty McKane Godfree	6–2, 6–2	3
USO	1923	USA	Helen Wills	USA	Molla Mallory	6–2, 6–1	4
AO	1924	AUS	Sylvia Lance Harper	AUS	Esna Boyd	6–3, 3–6, 8–6	1
FO	1924	FRA	Julie Vlasto †	FRA	Jeanne Vaussard	6–2, 6–3	2
WO	1924	GBR	Kitty McKane Godfree	USA	Helen Wills	4–6, 6–4, 6–4	3
USO	1924	USA	Helen Wills (2)	USA	Molla Mallory	6–1, 6–3	4
AO	1925	AUS	Daphne Akhurst Cozens	AUS	Esna Boyd	1–6, 8–6, 6–4	1
FO	1925	FRA	Suzanne Lenglen	GBR[i]	Kitty McKane Godfree	6–1, 6–2	2
WO	1925	FRA	Suzanne Lenglen	GBR	Joan Fry	6–2, 6–0	3
USO	1925	USA	Helen Wills (3)	GBR	Kitty McKane Godfree	3–6, 6–0, 6–2	4
AO	1926	AUS	Daphne Akhurst Cozens	AUS	Esna Boyd	6–1, 6–3	1
FO	1926	FRA	Suzanne Lenglen	USA	Mary Browne	6–1, 6–0	2
WO	1926	GBR	Kathleen McKane Godfree	ESP	Lili de Alvarez	6–2, 4–6, 6–3	3
USO	1926	USA	Molla Mallory (8)	USA	Elizabeth Ryan	4–6, 6–4, 9–7	4
AO	1927	AUS	Esna Boyd Robertson	AUS	Sylvia Lance Harper	5–7, 6–1, 6–2	1
FO	1927	NED	Kea Bouman	ZAF	Irene Bowder Peacock	6–2, 6–4	2
WO	1927	USA	Helen Wills	ESP	Lili de Alvarez	6–2, 6–4	3
USO	1927	USA	Helen Wills (4)	GBR	Betty Nuthall	6–1, 6–4	4
AO	1928	AUS	Daphne Akhurst Cozens	AUS	Esna Boyd	7–5, 6–2	1
FO	1928	USA	Helen Wills Moody	GBR	Eileen Bennett Whittingstall	6–1, 6–2	2
WO	1928	USA	Helen Wills	ESP	Lili de Alvarez	6–2, 6–3	3
USO	1928	USA	Helen Wills (5)	USA	Helen Jacobs	6–2, 6–1	4
AO	1929	AUS	Daphne Akhurst Cozens	AUS	Louie Bickerton	6–1, 5–7, 6–2	1
FO	1929	USA	Helen Wills Moody	FRA	Simonne Mathieu	6–3, 6–4	2
WO	1929	USA	Helen Wills	USA	Helen Jacobs	6–1, 6–2	3
USO	1929	USA	Helen Wills (6)	GBR	Phoebe Holcroft Watson	6–4, 6–2	4
AO	1930	AUS	Daphne Akhurst Cozens	AUS	Sylvia Lance Harper	10–8, 2–6, 7–5	1
FO	1930	USA	Helen Wills Moody	USA	Helen Jacobs	6–2, 6–1	2
WO	1930	USA	Helen Wills Moody	USA	Elizabeth Ryan	6–2, 6–2	3
USO	1930	GBR	Betty Nuthall	USA	Anna McCune Harper	6–1, 6–4	4
AO	1931	AUS	Coral Buttsworth	AUS	Marjorie Cox Crawford	1–6, 6–3, 6–4	1
FO	1931	GER	Cilly Aussem	GBR	Betty Nuthall	8–6, 6–1	2
WO	1931	GER	Cilly Aussem	GER	Hilde Krahwinkel Sperling	6–2, 7–5	3
USO	1931	USA	Helen Wills Moody (7)	GBR	Eileen Bennett Whittingstall	6–4, 6–1	4
AO	1932	AUS	Coral Buttsworth	AUS	Kathleen Le Messurier	9–7, 6–4	1
FO	1932	USA	Helen Wills Moody	FRA	Simonne Mathieu	7–5, 6–1	2
WO	1932	USA	Helen Wills Moody	USA	Helen Jacobs	6–3, 6–1	3
USO	1932	USA	Helen Jacobs	USA	Carolin Babcock Stark	6–2, 6–2	4
AO	1933	AUS	Joan Hartigan	AUS	Coral Buttsworth	6–4, 6–3	1
FO	1933	GBR[i]	Margaret Scriven Vivian	FRA	Simonne Mathieu	6–2, 4–6, 6–4	2
WO	1933	USA	Helen Wills Moody	GBR	Dorothy Round Little	6–4, 6–8, 6–3	3
USO	1933	USA	Helen Jacobs (2)	USA	Helen Wills Moody	8–6, 3–6, 3–0, retired	4
AO	1934	AUS	Joan Hartigan	AUS	Margaret Molesworth	6–1, 6–4	1
FO	1934	GBR	Margaret Scriven Vivian	USA	Helen Jacobs	7–5, 4–6, 6–1	2
WO	1934	GBR	Dorothy Round Little	USA	Helen Jacobs	6–2, 5–7, 6–3	3
USO	1934	USA	Helen Jacobs (3)	USA	Sarah Palfrey Cooke	6–1, 6–4	4
AO	1935	GBR[j]	Dorothy Round Little	AUS	Nancy Lyle Glover	1–6, 6–1, 6–3	1
FO	1935	GER[10]	Hilde Krahwinkel Sperling	FRA	Simonne Mathieu	6–2, 6–1	2
WO	1935	USA	Helen Wills Moody	USA	Helen Jacobs	6–3, 3–6, 7–5	3
USO	1935	USA	Helen Jacobs (4)	USA	Sarah Palfrey Cooke	6–2, 6–4	4
AO	1936	AUS	Joan Hartigan	AUS	Nancye Wynne Bolton	6–4, 6–4	1
FO	1936	GER[11]	Hilde Krahwinkel Sperling	FRA	Simonne Mathieu	6–3, 6–4	2
WO	1936	USA	Helen Jacobs	DEN	Hilde Krahwinkel Sperling	6–2, 4–6, 7–5	3
USO	1936	USA	Alice Marble	USA	Helen Jacobs	4–6, 6–3, 6–2	4
AO	1937	AUS	Nancye Wynne Bolton	AUS	Emily Hood Westacott	6–3, 5–7, 6–4	1
FO	1937	GER[12]	Hilde Krahwinkel Sperling	FRA	Simonne Mathieu	6–2, 6–4	2
WO	1937	GBR	Dorothy Round Little	POL	Jadwiga Jędrzejowska	6–2, 2–6, 7–5	3
USO	1937	CHI	Anita Lizana	POL	Jadwiga Jędrzejowska	6–4, 6–2	4
AO	1938	USA	Dorothy Cheney	AUS	Dorothy Stevenson	6–3, 6–2	1
FO	1938	FRA	Simonne Mathieu	FRA	Nelly Adamson Landry	6–0, 6–3	2
WO	1938	USA	Helen Wills Moody	USA	Helen Jacobs	6–4, 6–0	3
USO	1938	USA	Alice Marble (2)	AUS	Nancye Wynne Bolton	6–0, 6–3	4
AO	1939	AUS	Emily Hood Westacott	AUS	Nell Hall Hopman	6–1, 6–2	1
FO	1939	FRA	Simonne Mathieu	POL	Jadwiga Jędrzejowska	6–3, 8–6	2
WO	1939	USA	Alice Marble	GBR	Kay Stammers	6–2, 6–0	3
USO	1939	USA	Alice Marble (3)	USA	Helen Jacobs	6–0, 8–10, 6–4	4
AO	1940	AUS	Nancye Wynne Bolton	AUS	Thelma Coyne Long	5–7, 6–4, 6–0	1
USO	1940	USA	Alice Marble (4)	USA	Helen Jacobs	6–2, 6–3	4
FO	1941	LUX	Alice Weiwers ††	FRA	Anne-Marie Seghers	6–3, 6–0	2
USO	1941	USA	Sarah Palfrey Cooke	USA	Pauline Betz	7–5, 6–2	4
FO	1942	LUX	Alice Weiwers ††	SUI	Lolette Payot	6–4, 6–4	2
USO	1942	USA	Pauline Betz	USA	Louise Brough	4–6, 6–1, 6–4	4
FO	1943	FRA	Simone Iribarne Lafargue ††	LUX	Alice Weiwers	6–1, 7–5	2
USO	1943	USA	Pauline Betz (2)	USA	Louise Brough	6–3, 5–7, 6–3	4
FO	1944	FRA	Raymonde Jones Veber ††	FRA	Jacqueline Patorni	6–4, 9–7	2
USO	1944	USA	Pauline Betz (3)	USA	Margaret Osborne duPont	6–3, 8–6	4
FO	1945	SUI	Lolette Payot ††	FRA	Simone Iribarne Lafargue	6–3, 6–4	2
USO	1945	USA	Sarah Palfrey Cooke (2)	USA	Pauline Betz	3–6, 8–6, 6–4	4
AO	1946	AUS	Nancye Wynne Bolton	AUS	Joyce Fitch	6–4, 6–4	1
FO	1946	USA	Margaret Osborne duPont	USA	Pauline Betz Addie	1–6, 8–6, 7–5	2
WO	1946	USA	Pauline Betz	USA	Louise Brough Clapp	6–2, 6–4	3
USO	1946	USA	Pauline Betz (4)	USA	Doris Hart	11–9, 6–3	4
AO	1947	AUS	Nancye Wynne Bolton	AUS	Nell Hall Hopman	6–3, 6–2	1
FO	1947	USA	Patricia Canning Todd	USA	Doris Hart	6–3, 3–6, 6–4	2
WO	1947	USA	Margaret Osborne duPont	USA	Doris Hart	6–2, 6–4	3
USO	1947	USA	Louise Brough	USA	Margaret Osborne duPont	8–6, 4–6, 6–1	4
AO	1948	AUS	Nancye Wynne Bolton	AUS	Marie Toomey	6–3, 6–1	1
FO	1948	FRA	Nelly Adamson Landry	USA	Shirley Fry Irvin	6–2, 0–6, 6–0	2
WO	1948	USA	Louise Brough	USA	Doris Hart	6–3, 8–6	3
USO	1948	USA	Margaret Osborne duPont	USA	Louise Brough	4–6, 6–4, 15–13	4
AO	1949	USA	Doris Hart	AUS	Nancye Wynne Bolton	6–3, 6–4	1
FO	1949	USA	Margaret Osborne duPont	FRA	Nelly Adamson Landry	7–5, 6–2	2
WO	1949	USA	Louise Brough	USA	Margaret Osborne duPont	10–8, 1–6, 10–8	3
USO	1949	USA	Margaret Osborne duPont (2)	USA	Doris Hart	6–3, 6–1	4
AO	1950	USA	Louise Brough	USA	Doris Hart	6–4, 3–6, 6–4	1
FO	1950	USA	Doris Hart	USA	Patricia Canning Todd	6–4, 4–6, 6–2	2
WO	1950	USA	Louise Brough	USA	Margaret Osborne duPont	6–1, 3–6, 6–1	3
USO	1950	USA	Margaret Osborne duPont (3)	USA	Doris Hart	6–4, 6–3	4
AO	1951	AUS	Nancye Wynne Bolton	AUS	Thelma Coyne Long	6–1, 7–5	1
FO	1951	USA	Shirley Fry Irvin	USA	Doris Hart	6–3, 3–6, 6–3	2
WO	1951	USA	Doris Hart	USA	Shirley Fry Irvin	6–1, 6–0	3
USO	1951	USA	Maureen Connolly	USA	Shirley Fry Irvin	6–3, 1–6, 6–4	4
AO	1952	AUS	Thelma Coyne Long	AUS	Helen Angwin	6–2, 6–3	1
FO	1952	USA	Doris Hart	USA	Shirley Fry Irvin	6–4, 6–4	2
WO	1952	USA	Maureen Connolly	USA	Louise Brough Clapp	7–5, 6–3	3
USO	1952	USA	Maureen Connolly (2)	USA	Doris Hart	6–3, 7–5	4
AO	1953	USA	Maureen Connolly Brinker	USA	Julia Sampson Hayward	6–3, 6–2	1
FO	1953	USA	Maureen Connolly	USA	Doris Hart	6–2, 6–4	2
WO	1953	USA	Maureen Connolly	USA	Doris Hart	8–6, 7–5	3
USO	1953	USA	Maureen Connolly (3)	USA	Doris Hart	6–2, 6–4	4
